,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
183,1,2,1,-2,-1,10,0
184,0,3,1,-2,-1,9,0
185,5,1,1,-1,0,11,1
186,0,3,2,-1,1,8,0
187,1,5,2,-3,-1,8,0
188,0,4,2,-3,-1,8,0
189,0,3,2,-2,0,7,1
190,0,0,1,-1,0,2,0
191,0,0,1,-1,0,2,0
192,0,0,1,-1,0,3,0
193,1,1,1,-1,0,10,1
194,1,0,2,-1,1,2,0
195,1,0,2,-1,1,11,1
196,1,1,2,-1,1,5,0
197,0,0,2,-1,1,3,0
198,0,0,2,-1,1,5,0
199,0,1,2,-1,1,4,0
200,1,0,2,-1,1,5,0
201,0,0,1,-1,0,6,0
202,0,4,1,-1,0,4,1
203,0,3,2,-1,1,7,0
204,1,1,2,-1,1,4,0
205,2,1,1,-1,0,8,0
206,2,3,1,-3,-2,14,0
207,2,1,2,-1,1,7,1
208,0,2,2,-1,1,9,1
209,0,0,2,-1,1,3,1
210,2,1,1,-2,-1,11,0
211,1,0,1,-1,0,6,0
212,2,0,1,-1,0,4,0
213,0,2,3,-1,2,13,1
214,1,2,2,-1,1,9,0
215,2,2,1,-1,0,10,0
216,0,2,3,-1,2,11,0
217,0,0,1,-1,0,2,0
218,2,0,1,-1,0,6,1
219,2,2,2,-1,1,14,1
220,0,0,2,-1,1,1,0
221,0,2,1,-1,0,14,0
222,0,1,3,-1,2,8,0
223,3,0,1,-1,0,10,0
224,0,4,1,-2,-1,10,1
225,0,1,2,-1,1,7,0
226,0,2,1,-1,0,4,0
227,2,0,1,-1,0,5,1
228,1,3,1,-1,0,13,0
229,0,1,1,-2,-1,2,0
230,0,1,1,-1,0,2,0
231,1,0,1,-3,-2,6,1
232,1,1,1,-4,-3,11,1
233,0,2,1,-1,0,10,0
234,0,1,2,-1,1,3,0
235,1,1,3,-3,0,12,0
236,0,2,2,-1,1,5,1
237,0,2,1,-1,0,2,0
238,0,1,1,-1,0,0,0
239,0,0,1,-1,0,5,0
240,0,1,1,-1,0,2,0
241,0,3,1,-1,0,12,1
242,0,5,1,-1,0,10,1
243,0,1,1,-1,0,5,1
244,0,0,1,-1,0,1,0
245,0,0,2,-1,1,12,1
246,0,0,1,-1,0,1,0
247,0,1,1,-4,-3,2,0
248,0,1,2,-1,1,3,0
249,2,3,1,-1,0,6,0
250,1,2,2,-1,1,5,0
251,0,4,1,-1,0,9,0
252,0,2,1,-1,0,5,1
253,2,1,1,-1,0,6,0
254,0,1,1,-1,0,8,0
255,0,2,2,-1,1,8,0
256,1,1,2,-1,1,10,0
257,2,3,1,-1,0,11,1
258,0,0,3,-1,2,4,0
259,2,3,3,-2,1,10,1
260,0,4,1,-1,0,8,1
261,0,0,1,-1,0,0,0
262,0,1,1,-1,0,7,0
263,1,2,1,-1,0,8,0
