,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
183,1,2,1,-2,-1,10,1
184,0,3,1,-2,-1,9,1
185,5,1,1,-1,0,11,0
186,0,3,2,-1,1,8,1
187,1,5,2,-3,-1,8,1
188,0,4,2,-3,-1,8,1
189,0,3,2,-2,0,7,0
190,0,0,1,-1,0,2,1
191,0,0,1,-1,0,2,1
192,0,0,1,-1,0,3,1
193,1,1,1,-1,0,10,0
194,1,0,2,-1,1,2,1
195,1,0,2,-1,1,11,0
196,1,1,2,-1,1,5,1
197,0,0,2,-1,1,3,1
198,0,0,2,-1,1,5,1
199,0,1,2,-1,1,4,1
200,1,0,2,-1,1,5,1
201,0,0,1,-1,0,6,1
202,0,4,1,-1,0,4,0
203,0,3,2,-1,1,7,1
204,1,1,2,-1,1,4,1
205,2,1,1,-1,0,8,1
206,2,3,1,-3,-2,14,1
207,2,1,2,-1,1,7,0
208,0,2,2,-1,1,9,0
209,0,0,2,-1,1,3,0
210,2,1,1,-2,-1,11,1
211,1,0,1,-1,0,6,1
212,2,0,1,-1,0,4,1
213,0,2,3,-1,2,13,0
214,1,2,2,-1,1,9,1
215,2,2,1,-1,0,10,1
216,0,2,3,-1,2,11,1
217,0,0,1,-1,0,2,1
218,2,0,1,-1,0,6,0
219,2,2,2,-1,1,14,0
220,0,0,2,-1,1,1,1
221,0,2,1,-1,0,14,1
222,0,1,3,-1,2,8,1
223,3,0,1,-1,0,10,1
224,0,4,1,-2,-1,10,0
225,0,1,2,-1,1,7,1
226,0,2,1,-1,0,4,1
227,2,0,1,-1,0,5,0
228,1,3,1,-1,0,13,1
229,0,1,1,-2,-1,2,1
230,0,1,1,-1,0,2,1
231,1,0,1,-3,-2,6,0
232,1,1,1,-4,-3,11,0
233,0,2,1,-1,0,10,1
234,0,1,2,-1,1,3,1
235,1,1,3,-3,0,12,1
236,0,2,2,-1,1,5,0
237,0,2,1,-1,0,2,1
238,0,1,1,-1,0,0,1
239,0,0,1,-1,0,5,1
240,0,1,1,-1,0,2,1
241,0,3,1,-1,0,12,0
242,0,5,1,-1,0,10,0
243,0,1,1,-1,0,5,0
244,0,0,1,-1,0,1,1
245,0,0,2,-1,1,12,0
246,0,0,1,-1,0,1,1
247,0,1,1,-4,-3,2,1
248,0,1,2,-1,1,3,1
