,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
183,1,1,1,-1,0,2,0
184,0,0,1,-1,0,2,0
185,1,2,1,-1,0,7,0
186,1,2,1,-1,0,8,0
187,0,1,1,-2,-1,3,0
188,0,1,2,-1,1,8,0
189,0,2,1,-1,0,7,1
190,1,3,2,-1,1,11,1
191,0,2,1,-1,0,5,0
192,0,1,1,-1,0,6,1
193,0,2,3,-3,0,7,0
194,0,0,3,-1,2,3,0
195,0,0,1,-1,0,4,0
196,1,0,1,-1,0,1,0
197,1,2,1,-1,0,7,0
198,0,0,1,-1,0,8,0
199,0,2,2,-1,1,9,0
200,1,2,2,-1,1,10,0
201,0,2,1,-3,-2,2,0
202,2,1,1,-1,0,6,0
203,0,1,1,-1,0,1,0
204,1,1,1,-1,0,10,0
205,0,0,3,-1,2,7,1
206,1,0,1,-1,0,0,0
207,1,1,1,-2,-1,4,0
208,0,0,1,-1,0,1,0
209,1,1,3,-1,2,5,0
210,0,2,1,-3,-2,6,1
211,0,0,1,-1,0,4,0
212,1,0,1,-1,0,7,0
213,1,0,1,-1,0,4,0
214,1,2,1,-1,0,8,0
215,0,0,1,-1,0,2,0
216,0,3,1,-1,0,8,0
217,1,1,3,-1,2,9,0
218,0,2,1,-1,0,11,0
219,0,2,2,-1,1,3,0
220,1,0,1,-1,0,4,0
221,0,0,1,-1,0,2,0
222,0,2,1,-1,0,4,1
223,0,1,2,-1,1,4,1
224,0,3,1,-1,0,5,0
225,0,1,1,-1,0,2,0
226,3,0,1,-1,0,8,0
227,0,0,1,-1,0,12,0
228,0,2,1,-1,0,10,1
229,0,2,1,-2,-1,8,0
230,1,1,2,-1,1,6,0
231,0,1,2,-1,1,6,0
232,0,0,1,-1,0,2,0
233,0,1,2,-1,1,1,0
234,2,1,2,-1,1,13,0
235,0,0,1,-1,0,3,0
236,1,3,1,-1,0,10,0
237,0,1,1,-1,0,4,1
238,0,1,2,-1,1,12,1
239,1,3,1,-1,0,6,0
240,0,2,1,-1,0,9,0
241,0,3,1,-3,-2,6,0
242,2,0,1,-1,0,4,0
243,0,3,2,-1,1,7,0
244,0,1,1,-1,0,3,0
245,3,0,1,-1,0,9,1
246,1,2,2,-1,1,3,0
247,0,0,3,-1,2,7,0
248,0,4,1,-2,-1,8,0
249,4,2,3,-2,1,13,0
250,1,3,1,-2,-1,14,1
251,1,2,1,-1,0,9,0
252,0,0,1,-3,-2,11,1
253,0,0,1,-1,0,5,0
254,0,0,2,-1,1,1,0
255,3,1,2,-1,1,7,0
256,3,1,1,-1,0,6,0
257,0,2,1,-1,0,12,0
258,0,1,1,-1,0,8,0
259,1,3,2,-1,1,10,0
260,0,0,1,-1,0,4,0
261,0,1,1,-1,0,2,0
262,0,2,1,-1,0,9,1
263,0,1,1,-1,0,3,0
264,0,3,2,-1,1,12,0
265,0,2,1,-1,0,5,1
266,1,1,1,-1,0,3,0
267,1,0,1,-1,0,1,0
268,0,1,1,-1,0,2,0
269,2,1,1,-1,0,12,1
270,0,0,2,-1,1,5,0
271,0,2,1,-1,0,5,1
272,3,1,1,-2,-1,11,0
273,1,2,1,-1,0,9,0
274,3,0,1,-1,0,6,0
275,0,0,1,-3,-2,1,0
276,3,3,3,-1,2,10,0
277,0,0,1,-1,0,1,0
278,1,0,2,-3,-1,9,0
279,0,2,1,-1,0,6,0
280,1,4,2,-2,0,10,0
281,1,3,1,-1,0,8,0
282,0,1,2,-4,-2,10,0
283,0,1,1,-1,0,4,0
284,2,3,1,-1,0,9,1
285,0,4,3,-1,2,7,0
286,0,2,3,-1,2,2,0
287,0,1,1,-1,0,7,0
288,0,2,2,-3,-1,6,0
289,0,0,1,-1,0,6,0
290,0,0,1,-1,0,5,1
291,1,1,1,-1,0,5,0
292,0,2,1,-1,0,7,1
293,2,1,1,-1,0,9,0
294,0,2,1,-1,0,4,0
