,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
183,1,3,1,-2,-1,8,1
184,0,0,2,-1,1,1,1
185,0,1,1,-3,-2,10,1
186,0,0,1,-1,0,2,1
187,0,1,2,-2,0,7,1
188,0,0,1,-4,-3,9,1
189,0,3,3,-1,2,7,1
190,0,1,2,-2,0,8,1
191,0,1,1,-1,0,5,1
192,0,2,2,-3,-1,10,1
193,0,1,1,-2,-1,7,0
194,2,1,1,-4,-3,8,0
195,0,1,1,-4,-3,8,1
196,0,0,1,-1,0,15,1
197,0,1,1,-1,0,10,1
198,0,0,2,-1,1,4,0
199,0,5,1,-1,0,6,0
200,0,1,1,-4,-3,1,1
201,0,0,1,-1,0,11,1
202,0,0,3,-1,2,8,0
203,1,1,1,-1,0,9,1
204,3,3,3,-1,2,8,0
205,1,1,1,-1,0,4,1
206,2,2,1,-1,0,14,1
207,0,1,1,-1,0,5,1
208,1,2,1,-1,0,9,1
209,0,3,1,-1,0,8,0
210,0,1,1,-1,0,3,1
211,1,2,1,-3,-2,9,1
212,2,1,2,-1,1,7,0
213,0,1,2,-1,1,7,1
214,0,3,1,-2,-1,13,0
215,0,2,3,-1,2,5,1
216,0,1,1,-1,0,2,1
217,0,1,2,-1,1,1,1
218,1,2,1,-1,0,5,0
219,0,0,2,-1,1,4,0
220,0,3,1,-1,0,7,0
221,0,2,2,-1,1,10,0
222,0,0,1,-3,-2,1,1
223,0,5,3,-1,2,8,1
224,0,1,2,-1,1,5,1
225,1,2,1,-1,0,6,1
226,0,1,1,-1,0,2,1
227,0,1,3,-1,2,1,1
228,0,0,1,-1,0,4,0
229,0,0,1,-1,0,6,1
230,0,3,2,-3,-1,10,1
231,0,1,1,-1,0,13,1
232,0,1,3,-1,2,3,1
233,0,2,1,-5,-4,9,1
234,1,0,1,-1,0,7,1
235,0,2,1,-1,0,6,1
236,0,0,1,-1,0,2,1
237,0,0,1,-1,0,0,1
238,0,5,1,-1,0,10,0
239,0,1,1,-1,0,6,1
240,0,2,1,-1,0,4,0
241,0,2,2,-1,1,8,0
242,0,1,3,-1,2,1,1
243,0,0,1,-1,0,5,1
244,0,1,3,-4,-1,11,0
245,0,2,1,-1,0,7,1
246,0,0,1,-1,0,1,1
247,0,3,1,-1,0,11,1
248,0,2,1,-2,-1,7,0
249,0,1,2,-1,1,6,1
250,0,0,1,-1,0,5,0
251,0,3,2,-1,1,7,0
252,1,4,3,-1,2,9,1
253,0,3,1,-1,0,5,1
254,0,3,2,-1,1,9,1
255,0,2,2,-1,1,7,1
256,0,1,2,-1,1,2,1
257,0,0,3,-3,0,6,1
258,0,0,1,-1,0,3,0
259,0,0,1,-1,0,5,0
260,0,2,3,-1,2,9,0
261,1,2,2,-2,0,6,1
262,1,1,1,-1,0,5,1
263,0,1,1,-1,0,3,1
264,1,0,1,-1,0,5,1
265,0,2,1,-1,0,3,1
266,0,1,1,-3,-2,3,1
267,1,4,1,-2,-1,10,0
268,1,1,1,-1,0,6,1
269,1,0,2,-1,1,10,1
270,2,1,3,-1,2,9,1
271,0,1,1,-1,0,1,1
272,1,1,2,-1,1,7,1
273,0,3,1,-1,0,11,0
274,0,1,1,-1,0,7,0
275,1,1,1,-1,0,0,1
276,1,2,2,-3,-1,5,0
277,0,1,1,-1,0,10,1
278,0,3,2,-1,1,9,1
279,0,1,1,-1,0,2,1
280,0,0,2,-1,1,3,0
281,1,1,1,-1,0,11,1
282,1,1,1,-1,0,5,1
283,0,3,3,-1,2,5,1
284,0,3,1,-1,0,2,1
285,1,0,1,-1,0,9,0
286,0,3,1,-1,0,11,1
287,0,2,1,-1,0,15,0
288,0,0,2,-1,1,2,1
289,0,0,1,-1,0,2,1
